id,name,slug,purdue_level,category,png_relative_path,svg_relative_path,dimensions,keywords_str
11,Emergency Medical Service Communications Hardware,emergency_medical_service_communications_hardware,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/emergency_medical_service_communications_hardware.png,new_material_source/asset_icons/components_svg/emergency_medical_service_communications_hardware.svg,520x520,"ems radio, first responder comms, p25 radio, emergency, medical, service, communications, hardware"
12,EMG,emg,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/emg.png,new_material_source/asset_icons/components_svg/emg.svg,520x520,emg
13,Endoscopy System,endoscopy_system,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/endoscopy_system.png,new_material_source/asset_icons/components_svg/endoscopy_system.svg,520x520,"endoscopy, system"
14,Engineering Workstation,engineering_workstation,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/engineering_workstation.png,new_material_source/asset_icons/components_svg/engineering_workstation.svg,520x520,"ews, tia portal, studio 5000, engineering station, programming terminal, asset management, purdue level 3, engineering, workstation"
15,Ethernet Backhaul,ethernet_backhaul,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/ethernet_backhaul.png,new_material_source/asset_icons/components_svg/ethernet_backhaul.svg,520x520,"ethernet, backhaul"
16,Firewall,firewall,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/firewall.png,new_material_source/asset_icons/components_svg/firewall.svg,520x520,"industrial firewall, next-gen firewall, ngfw, fortinet, palo alto, checkpoint, moxa, hirschmann eagle, zone boundary, conduit protection, firewall"
17,Front End Processor,front_end_processor,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/front_end_processor.png,new_material_source/asset_icons/components_svg/front_end_processor.svg,520x520,"fep, telemetry gateway, scada communication processor, protocol converter, front, end, processor"
18,Handheld Wireless Device,handheld_wireless_device,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/handheld_wireless_device.png,new_material_source/asset_icons/components_svg/handheld_wireless_device.svg,520x520,"rugged tablet, operator pendant, barcode scanner, zebra/honeywell handheld, handheld, wireless, device"
19,Historian,historian,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/historian.png,new_material_source/asset_icons/components_svg/historian.svg,520x520,"data historian, osisoft pi, aveva pi system, process historian, time series database, aspen infoplus, ge proficy, purdue level 3, historian"
20,HMI,hmi,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/hmi.png,new_material_source/asset_icons/components_svg/hmi.svg,520x520,"human machine interface, operator console, touchscreen, wonderware, factorytalk, wincc, ignition, purdue level 2, hmi"
21,Hub,hub,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/hub.png,new_material_source/asset_icons/components_svg/hub.svg,520x520,hub
22,IDS,ids,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/ids.png,new_material_source/asset_icons/components_svg/ids.svg,520x520,"intrusion detection system, network ids, snort, suricata, zeek, nozomi, claroty, dragos, passive monitoring, ids"
23,IED,ied,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/ied.png,new_material_source/asset_icons/components_svg/ied.svg,520x520,"intelligent electronic device, protection relay, sel-751, sel-411, iec 61850, goose, substation automation, electrical protection, purdue level 1, ied"
24,Imaging Modalities and Equipment,imaging_modalities_and_equipment,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/imaging_modalities_and_equipment.png,new_material_source/asset_icons/components_svg/imaging_modalities_and_equipment.svg,520x520,"imaging, modalities, and, equipment"
25,Imaging Server,imaging_server,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/imaging_server.png,new_material_source/asset_icons/components_svg/imaging_server.svg,520x520,"imaging, server"
26,Infant Protection Remote Display Unit,infant_protection_remote_display_unit,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/infant_protection_remote_display_unit.png,new_material_source/asset_icons/components_svg/infant_protection_remote_display_unit.svg,520x520,"infant security, hugs tag, rfid maternity, hospital physical security, infant, protection, remote, display, unit"
27,Infusion Pump,infusion_pump,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/infusion_pump.png,new_material_source/asset_icons/components_svg/infusion_pump.svg,520x520,"smart pump, biomedical device, patient care, medical iot, infusion, pump"
28,Interactive Television System,interactive_television_system,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/interactive_television_system.png,new_material_source/asset_icons/components_svg/interactive_television_system.svg,520x520,"interactive, television, system"
29,IP Camera,ip_camera,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/ip_camera.png,new_material_source/asset_icons/components_svg/ip_camera.svg,520x520,"cctv, surveillance camera, physical security, axis communications, rtsp stream, facility monitoring, camera"
30,IP Phone,ip_phone,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/ip_phone.png,new_material_source/asset_icons/components_svg/ip_phone.svg,520x520,"voip phone, sip phone, cisco ip phone, plant telephone, phone"
31,IPS,ips,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/ips.png,new_material_source/asset_icons/components_svg/ips.svg,520x520,"intrusion prevention system, inline ips, active packet blocking, perimeter security, ips"
32,Linear Partical Accelerator,linear_partical_accelerator,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/linear_partical_accelerator.png,new_material_source/asset_icons/components_svg/linear_partical_accelerator.svg,520x520,"linac, radiation therapy, medical physics, specialized medical, linear, partical, accelerator"
33,Link Encryption,link_encryption,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/link_encryption.png,new_material_source/asset_icons/components_svg/link_encryption.svg,520x520,"macsec, ipsec encryptor, hardware encryptor, thales, viasat, trusted link, conduit encryption, link, encryption"
34,Link,link,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/link.png,new_material_source/asset_icons/components_svg/link.svg,37x58,"conduit link, network edge, physical cable, optical fiber, link"
35,Magnetic Resonance Imaging,magnetic_resonance_imaging,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/magnetic_resonance_imaging.png,new_material_source/asset_icons/components_svg/magnetic_resonance_imaging.svg,520x520,"mri, medical imaging, dicom, hospital ot, magnetic, resonance, imaging"
36,Mail Server,mail_server,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/mail_server.png,new_material_source/asset_icons/components_svg/mail_server.svg,520x520,"mail, server"
37,Master Site,master_site,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/master_site.png,new_material_source/asset_icons/components_svg/master_site.svg,520x520,"master, site"
38,Medical Gas System,medical_gas_system,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/medical_gas_system.png,new_material_source/asset_icons/components_svg/medical_gas_system.svg,520x520,"med gas, oxygen manifold, vacuum system, hospital critical infrastructure, medical, gas, system"
39,Microwave Backhaul,microwave_backhaul,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/microwave_backhaul.png,new_material_source/asset_icons/components_svg/microwave_backhaul.svg,520x520,"microwave radio, ptp wireless, long-range backhaul, telecom tower, microwave, backhaul"
40,Modem,modem,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/modem.png,new_material_source/asset_icons/components_svg/modem.svg,520x520,"dial-up modem, cellular modem, lte router, 4g/5g modem, out-of-band modem, modem"
41,MTU,mtu,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/mtu.png,new_material_source/asset_icons/components_svg/mtu.svg,520x520,mtu
42,Multi Protocol Label Switching,multi_protocol_label_switching,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/multi_protocol_label_switching.png,new_material_source/asset_icons/components_svg/multi_protocol_label_switching.svg,520x520,"multi, protocol, label, switching"
43,Multiple Services Component,multiple_services_component,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/multiple_services_component.png,new_material_source/asset_icons/components_svg/multiple_services_component.svg,520x424.6508803885853,"multiple, services, component"
44,Network Printer,network_printer,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/network_printer.png,new_material_source/asset_icons/components_svg/network_printer.svg,520x520,"network, printer"
45,Network Scanner And Copier,network_scanner_and_copier,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/network_scanner_and_copier.png,new_material_source/asset_icons/components_svg/network_scanner_and_copier.svg,520x520,"network, scanner, and, copier"
46,Optical Ring System,optical_ring_system,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/optical_ring_system.png,new_material_source/asset_icons/components_svg/optical_ring_system.svg,520x520,"fiber ring, resilient packet ring, fddi, optical bypass, optical, ring, system"
47,Partner,partner,External Untrusted Zone,Third-Party & External Partners,new_material_source/asset_icons/components_png/partner.png,new_material_source/asset_icons/components_svg/partner.svg,520x520,"external partner network, contractor portal, b2b connection, untrusted third party, partner"
48,PC,pc,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/pc.png,new_material_source/asset_icons/components_svg/pc.svg,520x520,
49,Physiological Monitoring System,physiological_monitoring_system,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/physiological_monitoring_system.png,new_material_source/asset_icons/components_svg/physiological_monitoring_system.svg,520x520,"patient monitor, vital signs, icu telemetry, biomedical, physiological, monitoring, system"
50,PLC,plc,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/plc.png,new_material_source/asset_icons/components_svg/plc.svg,520x520,"programmable logic controller, siemens s7-1500, allen-bradley, controllogix, schneider modicon, field controller, ladder logic, purdue level 1, plc"
51,Power Over Ethernet,power_over_ethernet,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/power_over_ethernet.png,new_material_source/asset_icons/components_svg/power_over_ethernet.svg,520x520,"poe switch, poe injector, 802.3af/at/bt, powered camera/ap, power, over, ethernet"
52,Public Kiosk,public_kiosk,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/public_kiosk.png,new_material_source/asset_icons/components_svg/public_kiosk.svg,520x520,"public interactive terminal, visitor kiosk, untrusted endpoint, public, kiosk"
53,Radio Site,radio_site,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/radio_site.png,new_material_source/asset_icons/components_svg/radio_site.svg,520x520,"radio, site"
54,Real Time Location System,real_time_location_system,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/real_time_location_system.png,new_material_source/asset_icons/components_svg/real_time_location_system.svg,520x520,"rtls, asset tracking, uwb tracking, indoor positioning, real, time, location, system"
55,Relay Panel,relay_panel,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/relay_panel.png,new_material_source/asset_icons/components_svg/relay_panel.svg,520x520,"protective relay panel, breaker control, auxiliary relay, substation panel, relay, panel"
56,Remote Access Server,remote_access_server,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/remote_access_server.png,new_material_source/asset_icons/components_svg/remote_access_server.svg,520x520,"remote, access, server"
57,RFID Transmitter,rfid_transmitter,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/rfid_transmitter.png,new_material_source/asset_icons/components_svg/rfid_transmitter.svg,520x520,"rfid reader, asset tracking, contactless tag, location tracking, rfid, transmitter"
58,Router,router,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/router.png,new_material_source/asset_icons/components_svg/router.svg,520x520,"industrial router, layer 3 switch, cisco isr, gateway router, wan router, router"
59,RTU,rtu,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/rtu.png,new_material_source/asset_icons/components_svg/rtu.svg,520x520,"remote terminal unit, telemetry, scada outstation, dnp3, modbus, water substation, pipeline rtu, purdue level 1, rtu"
60,Safety Instrumented System,safety_instrumented_system,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/safety_instrumented_system.png,new_material_source/asset_icons/components_svg/safety_instrumented_system.svg,520x520,"sis, safety plc, sil 2, sil 3, sil 4, emergency shutdown, esd, triconex, hima, siemens f-cpu, iec 61508, iec 61511, safety, instrumented, system"
61,Security Information And Event Management System,security_information_and_event_management_system,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/security_information_and_event_management_system.png,new_material_source/asset_icons/components_svg/security_information_and_event_management_system.svg,520x520,"siem, splunk, microsoft sentinel, qradar, log collector, soc, security, information, and, event, management, system"
62,Serial Radio,serial_radio,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/serial_radio.png,new_material_source/asset_icons/components_svg/serial_radio.svg,520x520,"serial, radio"
63,Serial Switch,serial_switch,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/serial_switch.png,new_material_source/asset_icons/components_svg/serial_switch.svg,520x520,"rs-232 switch, rs-485 switch, serial multiplexer, serial, switch"
64,Server,server,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/server.png,new_material_source/asset_icons/components_svg/server.svg,520x520,server
65,Subscriber Radio,subscriber_radio,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/subscriber_radio.png,new_material_source/asset_icons/components_svg/subscriber_radio.svg,520x520,"subscriber, radio"
66,Switch,switch,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/switch.png,new_material_source/asset_icons/components_svg/switch.svg,520x520,"ethernet switch, managed switch, moxa, hirschmann, cisco catalyst, cisco ie3000, layer 2 switch, switch"
67,T1 Backhaul,t1_backhaul,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/t1_backhaul.png,new_material_source/asset_icons/components_svg/t1_backhaul.svg,520x520,"t1 line, leased line, ds1, telco backhaul, backhaul"
68,TDM Backhaul,tdm_backhaul,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/tdm_backhaul.png,new_material_source/asset_icons/components_svg/tdm_backhaul.svg,520x520,"time division multiplexing, sonet/sdh, legacy telecom, tdm, backhaul"
69,Terminal Server,terminal_server,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/terminal_server.png,new_material_source/asset_icons/components_svg/terminal_server.svg,520x520,"serial terminal server, moxa nport, digi one, serial to ethernet gateway, terminal, server"
70,Ultrasound,ultrasound,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/ultrasound.png,new_material_source/asset_icons/components_svg/ultrasound.svg,520x520,ultrasound
71,Unidirectional Device,unidirectional_device,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/unidirectional_device.png,new_material_source/asset_icons/components_svg/unidirectional_device.svg,520x520,"data diode, unidirectional security gateway, optical isolator, waterfall, owl cyber defense, advenica, egress diode, iec 62443-3-3, purdue dmz, unidirectional, device"
72,Uninterruptible Power Supply,uninterruptible_power_supply,Level 0 / Infrastructure (Critical Power),Power Infrastructure,new_material_source/asset_icons/components_png/uninterruptible_power_supply.png,new_material_source/asset_icons/components_svg/uninterruptible_power_supply.svg,520x520,"ups, battery backup, critical power, eaton, schneider apc, vertiv, rectifier, purdue level 0, uninterruptible, power, supply"
73,Unknown,unknown,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/unknown.png,new_material_source/asset_icons/components_svg/unknown.svg,520x520,unknown
74,Urodynamic Diagnostic Equipment,urodynamic_diagnostic_equipment,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/urodynamic_diagnostic_equipment.png,new_material_source/asset_icons/components_svg/urodynamic_diagnostic_equipment.svg,520x520,"urodynamic, diagnostic, equipment"
75,Vendor,vendor,External Untrusted Zone,Third-Party & External Partners,new_material_source/asset_icons/components_png/vendor.png,new_material_source/asset_icons/components_svg/vendor.svg,520x520,"oem vendor support, remote maintenance, vendor portal, third party maintenance, vendor"
76,Video Teleconferencing Equipment,video_teleconferencing_equipment,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/video_teleconferencing_equipment.png,new_material_source/asset_icons/components_svg/video_teleconferencing_equipment.svg,520x520,"video, teleconferencing, equipment"
77,Virtual Machine Server,virtual_machine_server,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/virtual_machine_server.png,new_material_source/asset_icons/components_svg/virtual_machine_server.svg,520x520,"virtual, machine, server"
78,VLAN Router,vlan_router,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/vlan_router.png,new_material_source/asset_icons/components_svg/vlan_router.svg,520x520,"vlan routing, inter-vlan routing, layer 3 switch, zone routing, vlan, router"
79,VLAN Switch,vlan_switch,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/vlan_switch.png,new_material_source/asset_icons/components_svg/vlan_switch.svg,520x520,"vlan switch, ieee 802.1q, segmented switch, managed switch, trunking, vlan, switch"
80,VPN,vpn,Security & Boundary Enforcement,Cybersecurity & Physical Security,new_material_source/asset_icons/components_png/vpn.png,new_material_source/asset_icons/components_svg/vpn.svg,520x520,"vpn concentrator, ipsec vpn, wireguard, openvpn, remote access, zero trust ot, vpn"
81,Web Server,web_server,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/web_server.png,new_material_source/asset_icons/components_svg/web_server.svg,520x520,"http server, scada web portal, hmi web client, iis/nginx, web, server"
82,Web,web,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/web.png,new_material_source/asset_icons/components_svg/web.svg,520x520,web
83,Windows Update Server,windows_update_server,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/windows_update_server.png,new_material_source/asset_icons/components_svg/windows_update_server.svg,520x520,"wsus, patch management, software update server, purdue level 3-4, windows, update, server"
84,Wireless Modem,wireless_modem,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/wireless_modem.png,new_material_source/asset_icons/components_svg/wireless_modem.svg,520x520,"wireless, modem"
85,Wireless Network,wireless_network,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/wireless_network.png,new_material_source/asset_icons/components_svg/wireless_network.svg,520x520,"wi-fi, industrial wlan, 802.11ax, isa100.11a, wirelesshart, wireless, network"
86,Wireless Router,wireless_router,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/wireless_router.png,new_material_source/asset_icons/components_svg/wireless_router.svg,520x520,"wireless ap, industrial access point, wi-fi router, wireless, router"
87,XRay Generator,xray_generator,Level 1 / Level 0 (Field Control & Process Assets),Controllers & Physical Devices,new_material_source/asset_icons/components_png/xray_generator.png,new_material_source/asset_icons/components_svg/xray_generator.svg,520x520,"x-ray, radiography, medical device, radiation generator, xray, generator"
88,Zone,zone,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/zone.png,new_material_source/asset_icons/components_svg/zone.svg,520x346.7869535045108,"iec 62443 zone, security zone, network segment, trust domain, zone"
89,,cset_component,Cross-Layer / General Asset,General Architecture,new_material_source/asset_icons/components_png/cset_component.png,new_material_source/asset_icons/components_svg/cset_component.svg,9x11,
90,Active Directory,active_directory,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/active_directory.png,new_material_source/asset_icons/components_svg/active_directory.svg,520x520,"domain controller, ad, ldap, kerberos, identity management, purdue level 4, active, directory"
91,Application Server,application_server,Level 4 (Enterprise & Corporate IT),Enterprise & IT Infrastructure,new_material_source/asset_icons/components_png/application_server.png,new_material_source/asset_icons/components_svg/application_server.svg,520x520,"application, server"
92,Audio Switch,audio_switch,Networking & Industrial Telecommunications,Network & Telecommunications,new_material_source/asset_icons/components_png/audio_switch.png,new_material_source/asset_icons/components_svg/audio_switch.svg,520x520,"intercom matrix, voip dispatcher, audio routing, audio, switch"
93,Building Automation Management Systems,building_automation_management_systems,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/building_automation_management_systems.png,new_material_source/asset_icons/components_svg/building_automation_management_systems.svg,520x520,"bms, bas, bacnet, johnson controls metasys, siemens desco, schneider ecostruxure, hvac control, facility management, building, automation, management, systems"
94,Clock,clock,Level 2 (Supervisory Control & Local HMI),Supervisory & Operations,new_material_source/asset_icons/components_png/clock.png,new_material_source/asset_icons/components_svg/clock.svg,520x520,clock
95,Configuration Server,configuration_server,Level 3 (Site Operations & Control Center),Site Operations & Data Servers,new_material_source/asset_icons/components_png/configuration_server.png,new_material_source/asset_icons/components_svg/configuration_server.svg,520x520,"asset center, firmware repository, backup server, versiondog, config server, configuration, server"
